denominazione,nat.giuridica,codice fiscale,pv,comune,data iscrizione alla sezione degli incubatori,data iscrizione al Registro Imprese,data inizio dell'esercizio effettivo dell'attività,ateco 2007,settore,attività,classe di produzione ultimo anno (1),classe di addetti ultimo anno (2),classe di capitale (3),sito internet,Categoria
FVB S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,2520850427,AN,ANCONA,31/01/2014,08/08/2011,13/05/2013,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,C,A,6,www.the-hive.it,Multisettoriale
AC75 STARTUP ACCELERATOR S.P.A.,SOCIETA' PER AZIONI,2907050427,AN,ANCONA,10/01/2024,22/12/2021,01/04/2022,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,C,B,9,www.ac75sa.com,Regionale
SCIENTIFICA S.P.A,SOCIETA' PER AZIONI,2130080662,AQ,L'AQUILA,11/03/2022,08/02/2022,09/02/2022,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,C,11,https://scientifica.vc/,Trasferimento tecnologico
INCUBATORE S.E.I. S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,3043710643,AV,AVELLINO,05/05/2022,25/01/2020,24/01/2020,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,A,A,3,www.incubatoresei.it,Regionale
THE HUB BARI S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,7248500725,BA,BARI,28/01/2021,20/10/2011,02/07/2012,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,C,4,https://www.sprintx.it/,Multisettoriale
BOOSTING INNOVATION IN POLIBA,SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,8698070722,BA,BARI,20/12/2024,12/05/2022,04/05/2022,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,C,A,7,www.binp.it,Trasferimento tecnologico
FABRICK S.P.A.,SOCIETA' PER AZIONI,2654890025,BI,BIELLA,03/04/2025,27/12/2017,27/12/2017,642100,SERVIZI,K 64 ATTIVITA' DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E,E,F,11,https://www.fabrick.com/it-it/,Professionisti / consulenza
STARTUP EUROPA S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,1776870626,BN,TORRECUSO,16/06/2022,19/10/2020,23/10/2020,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,B,A,4,www.startupeuropalab.it,Regionale
ALMACUBE S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,3277261206,BO,BOLOGNA,06/08/2014,07/03/2013,11/03/2013,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,D,C,3,www.almacube.com,Universitario / spin-off accademico
POLO INNOVATIVO S.R.L.,SOCIETA' A RESPONSABILITA' LIMITATA,4389320989,BS,BRESCIA,17/07/2025,01/06/2022,18/07/2022,621000,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",B,A,5,www.poloinnovativo.it,Trasferimento tecnologico
NOI S.P.A. % NOI A.G.,SOCIETA' PER AZIONI,2595720216,BZ,BOLZANO,17/12/2019,21/07/2008,01/03/2009,702009,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,G,E,11,www.noi.bz.it,Universitario / spin-off accademico
